settlement,teaor,bin,count,generated_count,diff
Alsószentiván,43,1-4,5,6,1
Alsószentmárton,1,1-4,7,9,2
Alsószentmárton,47,1-4,5,6,1
Alsószentmárton,81,1-4,6,8,2
Alsótelekes,1,1-4,7,9,2
Alsótold,1,1-4,10,12,2
Alsótold,43,1-4,5,6,1
Alsóvadász,1,1-4,12,15,3
Alsóvadász,25,10-19,15,19,4
Alsóvadász,43,1-4,6,8,2
Alsóvadász,47,1-4,6,8,2
Alsózsolca,1,1-4,11,14,3
Alsózsolca,41,1-4,6,8,2
Alsózsolca,43,1-4,42,52,10
Alsózsolca,45,1-4,8,10,2
Alsózsolca,47,1-4,25,31,6
Alsózsolca,49,1-4,9,11,2
Alsózsolca,56,1-4,11,14,3
Alsózsolca,62,1-4,7,9,2
Alsózsolca,66,1-4,14,17,3
Alsózsolca,70,1-4,5,6,1
Alsózsolca,74,1-4,7,9,2
Alsózsolca,81,1-4,5,6,1
Alsózsolca,85,1-4,7,9,2
Alsózsolca,86,1-4,12,15,3
Alsózsolca,96,1-4,19,24,5
Alsóörs,1,1-4,12,15,3
Alsóörs,23,1-4,7,9,2
Alsóörs,25,1-4,12,15,3
Alsóörs,41,1-4,12,15,3
Alsóörs,43,1-4,15,19,4
Alsóörs,46,1-4,8,10,2
Alsóörs,47,1-4,12,15,3
Alsóörs,49,1-4,5,6,1
Alsóörs,56,1-4,12,15,3
Alsóörs,66,1-4,7,9,2
Alsóörs,68,1-4,9,11,2
Alsóörs,69,1-4,6,8,2
Alsóörs,70,1-4,7,9,2
Alsóörs,77,1-4,5,6,1
Alsóörs,81,1-4,14,17,3
Alsóörs,82,1-4,6,8,2
Alsóörs,85,1-4,8,10,2
Alsóörs,86,1-4,9,11,2
Alsóörs,96,1-4,13,16,3
Alsóújlak,2,1-4,5,6,1
Ambrózfalva,1,1-4,5,6,1
Anarcs,1,1-4,18,22,4
Anarcs,41,1-4,6,8,2
Anarcs,43,1-4,16,20,4
Anarcs,45,1-4,11,14,3
Anarcs,47,1-4,8,10,2
Anarcs,66,1-4,5,6,1
Anarcs,85,1-4,5,6,1
Anarcs,96,1-4,9,11,2
Andocs,1,1-4,6,8,2
Andocs,41,1-4,5,6,1
Andocs,43,1-4,7,9,2
Andornaktálya,1,1-4,18,22,4
Andornaktálya,31,1-4,5,6,1
Andornaktálya,41,1-4,5,6,1
Andornaktálya,43,1-4,23,29,6
Andornaktálya,45,1-4,12,15,3
Andornaktálya,46,1-4,6,8,2
Andornaktálya,47,1-4,23,29,6
Andornaktálya,49,1-4,10,12,2
Andornaktálya,56,1-4,6,8,2
Andornaktálya,66,1-4,13,16,3
Andornaktálya,69,1-4,8,10,2
Andornaktálya,70,1-4,5,6,1
Andornaktálya,74,1-4,5,6,1
Andornaktálya,82,1-4,5,6,1
Andornaktálya,85,1-4,15,19,4
Andornaktálya,86,1-4,5,6,1
Andornaktálya,90,1-4,5,6,1
Andornaktálya,96,1-4,11,14,3
Annavölgy,43,1-4,15,19,4
Annavölgy,49,1-4,6,8,2
Apagy,1,1-4,40,50,10
Apagy,1,5-9,5,6,1
Apagy,43,1-4,15,19,4
Apagy,45,1-4,8,10,2
Apagy,47,1-4,17,21,4
Apagy,66,1-4,5,6,1
Apagy,74,1-4,5,6,1
Apagy,82,1-4,5,6,1
Apagy,86,1-4,6,8,2
Apagy,96,1-4,9,11,2
Apaj,1,1-4,11,14,3
Apaj,43,1-4,11,14,3
Apaj,45,1-4,5,6,1
Apaj,47,1-4,5,6,1
Apaj,96,1-4,6,8,2
Aparhant,1,1-4,22,27,5
Aparhant,33,1-4,9,11,2
Aparhant,43,1-4,19,24,5
Aparhant,47,1-4,8,10,2
Aparhant,96,1-4,6,8,2
Apc,1,1-4,8,10,2
Apc,28,20-49,39,49,10
Apc,29,20-49,8,10,2
Apc,31,20-49,51,63,12
Apc,32,20-49,157,195,38
Apc,33,1-4,6,8,2
Apc,33,20-49,104,129,25
Apc,43,1-4,16,20,4
Apc,47,1-4,13,16,3
Apc,56,1-4,7,9,2
Apc,62,1-4,5,6,1
Apc,74,1-4,6,8,2
Apc,86,1-4,5,6,1
Apc,96,1-4,9,11,2
Apostag,1,1-4,26,32,6
Apostag,25,1-4,5,6,1
Apostag,43,1-4,31,39,8
Apostag,45,1-4,5,6,1
Apostag,46,1-4,5,6,1
Apostag,47,1-4,19,24,5
Apostag,69,1-4,5,6,1
